# ts: 1780645948.2026622
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
015772,银华互联网主题灵活配置混合C,混合型,2026-06-04,3.967,3.967,1.07,4.64,26.62,62.32,91.0,209.44,250.44,134.32,71.07,96.39,0.00%
013250,红土创新智能制造混合型发起式A,混合型,2026-06-04,1.8875,1.8875,2.14,5.71,23.35,55.5,109.89,209.02,243.81,124.78,90.12,88.75,0.15%
011400,汇添富数字未来混合C,混合型,2026-06-04,1.7264,1.7264,2.06,5.78,32.71,63.25,84.23,208.56,204.27,158.17,70.47,72.64,0.00%
021957,红土创新智能制造混合型发起式C,混合型,2026-06-04,1.8355,1.8355,2.14,5.71,23.3,55.35,109.48,207.81,nan,nan,89.83,299.37,0.00%
018993,中欧数字经济混合发起A,混合型,2026-06-04,4.5884,4.5884,1.59,0.81,29.26,50.38,58.3,207.27,391.95,nan,49.07,358.84,0.15%
022717,永赢锐见进取混合A,混合型,2026-06-04,2.9903,2.9903,2.64,1.64,21.63,44.36,77.17,206.57,nan,nan,59.62,199.03,0.15%
014611,富国核心科技12个月持有混合A,混合型,2026-06-04,3.0575,3.0575,1.84,4.43,23.34,52.85,82.58,206.55,247.8,209.93,67.5,205.75,0.15%
501082,博时科创主题灵活配置混合(LOF)A,混合型,2026-06-04,4.652,4.652,1.65,2.63,25.0,47.65,81.33,205.91,236.37,155.49,68.78,365.2,0.12%
110029,易方达科讯混合,混合型,2026-06-04,4.3082,16.2314,0.7,2.35,16.32,44.28,51.42,205.59,248.46,222.99,43.07,556.77,0.15%
018994,中欧数字经济混合发起C,混合型,2026-06-04,4.5148,4.5148,1.59,0.8,29.19,50.16,57.83,205.47,386.19,nan,48.7,351.48,0.00%
022718,永赢锐见进取混合C,混合型,2026-06-04,2.9662,2.9662,2.63,1.62,21.56,44.14,76.65,204.76,nan,nan,59.22,196.62,0.00%
015491,博时科创主题灵活配置混合(LOF)C,混合型,2026-06-04,4.5769,4.5769,1.65,2.62,24.94,47.49,80.98,204.72,233.76,152.39,68.5,131.04,0.00%
014612,富国核心科技12个月持有混合C,混合型,2026-06-04,2.9781,2.9781,1.84,4.42,23.26,52.61,82.01,204.66,243.57,204.35,67.05,197.81,0.00%
006533,易方达科融混合,混合型,2026-06-04,9.1016,9.1016,0.7,2.28,16.58,45.2,50.64,203.6,264.21,248.19,42.87,810.16,0.15%
002770,安信新回报混合A,混合型,2026-06-04,7.8041,7.8541,2.92,-0.16,24.25,61.63,76.25,200.68,261.2,227.53,66.58,716.4,0.08%
002771,安信新回报混合C,混合型,2026-06-04,7.6408,7.6908,2.92,-0.16,24.23,61.55,76.08,200.09,259.77,225.57,66.44,699.4,0.00%
009644,东方阿尔法优势产业混合A,混合型,2026-06-04,3.4547,3.4547,-0.26,2.08,23.0,60.09,90.06,199.76,215.76,148.7,65.72,245.47,0.15%
000969,前海开源大安全混合,混合型,2026-06-04,5.608,5.608,2.49,1.69,25.94,48.67,85.02,199.09,234.41,230.66,65.18,460.8,0.15%
009645,东方阿尔法优势产业混合C,混合型,2026-06-04,3.3539,3.3539,-0.26,2.07,22.94,59.89,89.58,198.28,212.6,144.99,65.36,235.39,0.00%
013469,泰信低碳经济混合发起式A,混合型,2026-06-04,1.8776,1.8776,1.48,3.55,23.15,70.21,95.95,196.39,256.15,179.7,77.12,87.76,0.15%
017828,富国时代精选混合A,混合型,2026-06-04,3.0429,3.0429,1.88,4.05,21.48,47.4,74.37,195.51,231.29,209.9,60.52,204.29,0.15%
013470,泰信低碳经济混合发起式C,混合型,2026-06-04,1.836,1.836,1.48,3.54,23.08,69.98,95.46,194.94,252.81,175.68,76.74,83.6,0.00%
009048,浦银安盛科技创新优选混合,混合型,2026-06-04,3.0897,3.0897,1.06,3.22,25.61,58.37,80.01,194.2,271.81,177.73,62.04,208.97,0.15%
017829,富国时代精选混合C,混合型,2026-06-04,2.9838,2.9838,1.88,4.04,21.41,47.17,73.75,193.59,227.17,204.19,60.02,198.38,0.00%
000698,宝盈科技30混合,混合型,2026-06-04,9.039,9.039,3.31,2.66,25.82,50.35,74.5,193.47,257.7,214.07,53.44,803.9,0.15%
014727,易方达成长动力混合A,混合型,2026-06-04,3.3545,3.3545,0.64,2.19,16.17,43.87,49.02,193.1,255.05,247.62,41.38,235.45,0.15%
160220,国泰民益混合(LOF)A,混合型,2026-06-04,5.2034,5.2034,1.12,3.7,28.88,64.85,91.71,192.93,187.75,183.52,75.38,420.34,0.15%
160226,国泰民益混合(LOF)C,混合型,2026-06-04,5.2463,5.2463,1.11,3.7,28.87,64.81,91.61,192.62,187.15,182.62,75.3,310.19,0.15%
006522,财通新兴蓝筹混合A,混合型,2026-06-04,4.4733,4.4733,2.36,5.15,36.32,70.29,95.97,192.43,256.69,206.16,84.48,347.33,0.15%
213003,宝盈策略增长混合,混合型,2026-06-04,2.3542,3.9032,2.7,1.68,23.61,49.57,70.48,191.98,260.12,223.81,51.49,635.96,0.15%
014728,易方达成长动力混合C,混合型,2026-06-04,3.2827,3.2827,0.64,2.19,16.12,43.69,48.65,191.64,251.5,242.41,41.08,228.27,0.00%
959991,兴证资管金麒麟领先优势一年持有期混合A,混合型,2026-06-04,3.24,3.24,1.19,5.56,26.59,56.33,68.5,191.08,185.39,153.5,56.33,207.63,0.12%
014036,博时成长回报混合A,混合型,2026-06-04,2.1694,2.1694,0.37,1.84,21.53,59.02,78.14,191.08,249.34,151.99,66.34,116.94,0.15%
008657,景顺长城科技创新混合A,混合型,2026-06-04,3.5779,3.7739,0.52,4.38,26.46,54.89,71.68,190.79,244.63,208.07,61.81,322.02,0.15%
