# ts: 1780645794.4138129
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
002861,工银智能制造股票A,股票型,2026-06-04,3.678,3.678,1.07,-1.24,12.51,30.01,58.19,140.86,209.6,157.92,43.56,267.8,0.15%
017916,国寿安保成长优选股票C,股票型,2026-06-04,1.705,1.705,0.95,-5.12,16.86,36.84,78.35,140.82,135.17,95.53,66.34,70.5,0.00%
001749,招商中国机遇股票A,股票型,2026-06-04,3.207,3.207,1.07,3.48,32.14,52.93,75.53,140.04,154.32,93.66,64.55,220.7,0.15%
022710,工银智能制造股票C,股票型,2026-06-04,3.647,3.647,1.08,-1.25,12.42,29.83,57.74,139.46,nan,nan,43.19,149.79,0.00%
005628,汇安趋势动力股票A,股票型,2026-06-04,2.3531,2.3531,3.32,-0.63,20.84,41.83,80.74,139.11,123.08,64.02,73.35,135.31,0.15%
009863,富国创新趋势股票A,股票型,2026-06-04,1.1442,1.1442,1.1,1.61,19.49,43.29,47.41,137.98,121.1,96.8,37.52,14.42,0.15%
005629,汇安趋势动力股票C,股票型,2026-06-04,2.2535,2.2535,3.31,-0.64,20.77,41.65,80.29,137.91,120.87,61.59,72.99,125.35,0.00%
007685,华商电子行业量化股票发起式A,股票型,2026-06-04,3.6226,3.6226,3.07,-0.86,25.31,53.02,63.45,136.76,194.59,141.12,57.69,262.26,0.15%
017744,嘉实绿色主题股票发起式A,股票型,2026-06-04,2.2707,2.2707,3.2,-1.89,20.02,43.4,77.14,136.43,261.98,140.54,74.36,127.07,0.15%
004784,招商稳健优选股票A,股票型,2026-06-04,6.0264,6.0264,1.83,0.91,21.45,33.14,48.72,136.15,161.05,102.7,38.85,502.64,0.15%
020722,国寿安保数字经济股票发起式A,股票型,2026-06-04,3.1504,3.1504,0.2,8.35,21.87,52.03,115.07,135.84,213.16,nan,104.64,215.04,0.12%
022831,华商电子行业量化股票发起式C,股票型,2026-06-04,3.6026,3.6026,3.07,-0.86,25.27,52.87,63.13,135.83,nan,nan,57.43,129.28,0.00%
005962,宝盈人工智能股票A,股票型,2026-06-04,6.1226,6.1226,0.65,-2.58,17.91,34.55,48.44,135.29,202.75,159.94,41.61,512.26,0.15%
017745,嘉实绿色主题股票发起式C,股票型,2026-06-04,2.2264,2.2264,3.19,-1.9,19.93,43.17,76.59,135.0,257.6,136.25,73.9,122.64,0.00%
019863,招商稳健优选股票C,股票型,2026-06-04,6.1567,6.1567,1.83,0.89,21.38,32.94,48.29,134.75,157.94,nan,38.51,148.52,0.00%
020723,国寿安保数字经济股票发起式C,股票型,2026-06-04,3.1175,3.1175,0.2,8.34,21.82,51.85,114.57,134.7,210.04,nan,104.23,211.75,0.00%
003853,金鹰信息产业股票A,股票型,2026-06-04,5.8157,6.7742,2.92,0.79,23.82,52.94,63.74,134.03,155.26,90.66,54.4,688.88,0.12%
005963,宝盈人工智能股票C,股票型,2026-06-04,5.7518,5.7518,0.65,-2.59,17.82,34.28,47.85,133.42,197.93,153.73,41.13,475.18,0.00%
005885,金鹰信息产业股票C,股票型,2026-06-04,5.6861,6.6246,2.92,0.78,23.77,52.78,63.41,133.09,153.23,88.38,54.14,636.72,0.00%
001672,国寿安保智慧生活股票A,股票型,2026-06-04,3.193,4.0,3.67,2.41,27.57,42.23,85.1,131.38,183.82,155.74,68.59,467.82,0.15%
023101,国寿安保智慧生活股票C,股票型,2026-06-04,2.327,2.327,3.65,2.38,27.51,42.06,84.83,130.62,nan,nan,68.26,132.7,0.00%
020553,南方半导体产业股票发起A,股票型,2026-06-04,3.1202,3.1202,2.0,-5.19,13.92,42.35,63.64,128.69,212.71,nan,48.97,212.02,0.15%
020554,南方半导体产业股票发起C,股票型,2026-06-04,3.0956,3.0956,2.0,-5.2,13.88,42.21,63.36,127.95,210.34,nan,48.76,209.56,0.00%
020476,泰康半导体量化选股股票发起式A,股票型,2026-06-04,3.3042,3.3042,1.35,-5.07,21.8,40.67,56.64,126.58,229.96,nan,51.06,230.42,0.12%
020477,泰康半导体量化选股股票发起式C,股票型,2026-06-04,3.2773,3.2773,1.35,-5.07,21.76,40.53,56.34,125.69,227.37,nan,50.81,227.73,0.00%
002289,华商改革创新股票A,股票型,2026-06-04,4.7144,4.7144,3.27,-3.32,16.57,36.31,66.88,124.43,172.4,123.78,56.62,371.44,0.15%
016052,华商改革创新股票C,股票型,2026-06-04,4.582,4.582,3.27,-3.33,16.43,36.01,66.27,122.96,167.72,118.61,56.13,91.16,0.00%
021875,路博迈资源精选股票发起A,股票型,2026-06-04,2.064,2.064,-2.89,-2.82,-11.76,-9.29,25.43,122.87,nan,nan,14.02,106.4,0.15%
005777,广发科技动力股票,股票型,2026-06-04,2.8099,2.8099,4.07,3.12,15.11,56.65,73.56,122.34,166.59,117.96,64.55,180.99,0.15%
002980,华夏创新前沿股票A,股票型,2026-06-04,5.145,5.145,0.82,-0.62,16.61,44.16,54.41,121.58,150.24,113.31,46.66,414.5,0.15%
021876,路博迈资源精选股票发起C,股票型,2026-06-04,2.0379,2.0379,-2.89,-2.83,-11.83,-9.45,24.98,121.41,nan,nan,13.66,103.79,0.00%
001009,摩根安全战略股票A,股票型,2026-06-04,2.3549,2.6015,1.79,1.5,16.89,40.35,58.33,119.41,98.78,91.05,52.12,166.94,0.15%
001496,工银聚焦30股票,股票型,2026-06-04,2.531,2.531,1.61,-0.9,14.27,28.28,47.07,118.76,121.43,80.66,33.21,153.1,0.15%
004640,华夏节能环保股票A,股票型,2026-06-04,3.4538,3.4538,2.3,-2.1,21.55,38.9,85.29,118.75,122.91,69.58,68.33,245.38,0.15%
015172,摩根安全战略股票C,股票型,2026-06-04,2.305,2.305,1.79,1.49,16.83,40.16,57.94,118.3,96.81,88.21,51.78,35.92,0.00%
010892,中银证券精选行业股票A,股票型,2026-06-04,0.792,0.792,0.74,2.17,12.26,32.44,37.98,118.24,110.47,24.55,28.47,-20.8,0.15%
015060,华夏节能环保股票C,股票型,2026-06-04,3.3676,3.3676,2.3,-2.1,21.49,38.7,84.76,117.46,120.26,66.56,67.92,49.15,0.00%
010893,中银证券精选行业股票C,股票型,2026-06-04,0.7753,0.7753,0.73,2.16,12.2,32.3,37.71,117.35,108.81,23.06,28.25,-22.47,0.00%
019765,国寿安保优选国企股票发起式A,股票型,2026-06-04,2.3109,2.3109,1.97,-3.78,25.01,38.76,75.49,117.03,132.91,nan,58.63,131.09,0.12%
005826,华夏潜龙精选股票,股票型,2026-06-04,3.447,3.447,0.03,-2.06,23.79,41.69,52.14,116.81,158.07,125.41,39.4,244.7,0.15%
019824,国寿安保新材料股票发起式A,股票型,2026-06-04,2.6574,2.6574,2.13,-3.61,14.75,35.21,61.21,116.21,160.38,nan,55.08,165.74,0.12%
001042,华夏领先股票,股票型,2026-06-04,1.007,1.007,1.51,-2.52,23.56,39.86,85.45,116.09,93.65,33.73,69.24,0.7,0.15%
019766,国寿安保优选国企股票发起式C,股票型,2026-06-04,2.282,2.282,1.97,-3.79,24.95,38.59,75.05,115.96,130.62,nan,58.3,128.2,0.00%
019825,国寿安保新材料股票发起式C,股票型,2026-06-04,2.6322,2.6322,2.13,-3.62,14.7,35.04,60.81,115.14,157.81,nan,54.74,163.22,0.00%
001404,招商移动互联网产业股票基金A,股票型,2026-06-04,2.5007,2.5007,2.56,-3.94,13.41,35.67,49.25,114.87,120.68,72.09,43.98,150.07,0.15%
005983,摩根核心精选股票A,股票型,2026-06-04,2.067,2.067,-1.67,-3.19,-7.48,20.23,28.95,114.78,80.82,40.78,21.15,106.7,0.15%
015773,招商移动互联网产业股票基金C,股票型,2026-06-04,2.5016,2.5016,2.56,-3.95,13.37,35.57,49.02,114.23,119.36,70.55,43.79,108.8,0.00%
001482,摩根新兴服务股票A,股票型,2026-06-04,2.9136,2.9136,1.39,0.77,18.78,47.43,60.99,114.09,117.51,70.58,50.67,191.36,0.15%
014937,摩根核心精选股票C,股票型,2026-06-04,2.0146,2.0146,-1.66,-3.2,-7.54,20.05,28.57,113.5,78.68,38.27,20.84,-20.43,0.00%
017177,摩根新兴服务股票C,股票型,2026-06-04,2.8534,2.8534,1.39,0.76,18.72,47.22,60.52,112.81,114.93,67.52,50.31,82.7,0.00%
022754,易方达科鑫量化选股股票发起式A,股票型,2026-06-04,2.2032,2.2032,0.64,-1.78,6.69,20.56,52.35,112.73,nan,nan,42.69,120.32,0.15%
022755,易方达科鑫量化选股股票发起式C,股票型,2026-06-04,2.1906,2.1906,0.63,-1.79,6.65,20.44,52.07,111.9,nan,nan,42.45,119.06,0.00%
019902,国寿安保先进制造股票发起式A,股票型,2026-06-04,2.004,2.004,3.05,-0.51,20.06,31.34,48.19,111.75,105.22,nan,38.15,100.4,0.12%
011377,创金合信积极成长股票A,股票型,2026-06-04,2.1955,2.1955,3.01,-1.38,21.36,42.0,62.99,111.23,216.45,136.99,55.79,119.55,0.15%
000513,富国高端制造行业股票A,股票型,2026-06-04,5.827,5.827,2.0,0.94,8.71,22.26,44.66,111.12,99.28,87.0,36.11,482.7,0.15%
019903,国寿安保先进制造股票发起式C,股票型,2026-06-04,1.9774,1.9774,3.05,-0.52,20.0,31.18,47.82,110.72,103.12,nan,37.86,97.74,0.00%
011378,创金合信积极成长股票C,股票型,2026-06-04,2.1373,2.1373,3.01,-1.39,21.31,41.82,62.57,110.16,213.25,133.38,55.46,113.73,0.00%
014930,富国高端制造行业股票C,股票型,2026-06-04,5.682,5.682,2.01,0.92,8.66,22.09,44.25,109.98,97.02,83.76,35.77,52.66,0.00%
001036,嘉实企业变革股票,股票型,2026-06-04,2.986,2.986,2.61,0.67,23.64,40.12,68.13,109.84,112.83,89.95,60.88,198.6,0.15%
014341,摩根时代睿选股票A,股票型,2026-06-04,2.2371,2.2371,1.7,1.54,16.92,37.85,56.06,109.76,111.57,nan,50.9,123.71,0.15%
004352,华银研究精选股票,股票型,2026-06-04,2.5599,2.5599,2.49,-0.64,20.35,23.73,53.66,108.75,87.47,100.51,45.23,155.99,0.15%
014342,摩根时代睿选股票C,股票型,2026-06-04,2.2036,2.2036,1.7,1.53,16.86,37.67,55.65,108.71,109.43,nan,50.57,120.36,0.00%
000524,摩根民生需求股票A,股票型,2026-06-04,3.7305,4.1695,1.28,0.36,17.7,46.61,57.84,108.55,103.22,67.02,46.95,366.47,0.15%
023117,华安高端装备股票发起式A,股票型,2026-06-04,2.0772,2.0772,0.48,-2.23,15.43,35.06,49.82,108.32,nan,nan,42.93,107.72,0.15%
005328,前海开源价值策略股票,股票型,2026-06-04,1.3662,1.3662,0.83,-3.44,-0.47,13.39,69.61,107.6,101.3,53.63,46.09,36.62,0.15%
671030,西部利得事件驱动股票A,股票型,2026-06-04,5.0529,5.0529,2.23,-3.52,6.48,14.52,31.4,107.58,183.39,147.01,25.6,405.29,0.15%
001410,信澳新能源产业股票A,股票型,2026-06-04,7.381,7.443,1.86,-2.24,16.94,35.8,53.13,107.51,155.31,103.95,46.59,672.72,0.15%
023118,华安高端装备股票发起式C,股票型,2026-06-04,2.0673,2.0673,0.48,-2.24,15.38,34.89,49.32,107.33,nan,nan,42.54,106.73,0.00%
017099,摩根民生需求股票C,股票型,2026-06-04,3.6508,3.6508,1.28,0.34,17.64,46.4,57.38,107.3,100.81,63.85,46.58,58.45,0.00%
023532,西部利得事件驱动股票C,股票型,2026-06-04,5.028,5.028,2.23,-3.52,6.43,14.4,31.14,106.75,nan,nan,25.38,91.19,0.00%
001126,摩根卓越制造股票A,股票型,2026-06-04,2.371,2.5005,-0.04,-0.83,-1.31,24.04,34.85,106.43,109.64,99.09,25.6,156.08,0.15%
001678,英大国企改革A,股票型,2026-06-04,3.1029,3.7529,1.68,-0.87,19.2,31.89,57.42,106.25,100.94,70.89,46.23,373.46,0.15%
022868,英大国企改革C,股票型,2026-06-04,3.0938,3.0938,1.68,-0.88,19.18,31.81,57.24,105.76,nan,nan,46.09,100.62,0.00%
015075,摩根卓越制造股票C,股票型,2026-06-04,2.3133,2.3133,-0.04,-0.84,-1.36,23.86,34.46,105.21,107.16,95.48,25.28,44.09,0.00%
000586,景顺长城中小创精选股票A,股票型,2026-06-04,4.045,4.617,0.2,-1.27,13.43,29.32,53.34,102.86,96.65,74.64,50.26,406.62,0.15%
340006,兴全全球视野股票,股票型,2026-06-04,4.4549,7.2009,0.88,-2.55,8.96,22.53,53.02,102.81,107.81,78.22,40.2,1578.77,0.15%
