板块代码,板块名称,交易日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券卖出量,融券偿还量,融券净卖出,板块类型
710,量子科技,2026-01-27 00:00:00,68631077903,7314207027,7326902603,-12695576,272158177.55,956400,1415036,-9071471.764,财富通概念
662,在线教育,2026-01-27 00:00:00,68092361868,7239002588,7357064128,-118061540,274257950.57,1378000,1568404,-2224502.7844,财富通概念
1126,ChatGPT概念,2026-01-27 00:00:00,67589461528,7913034642,7801882517,111152125,193559765.21,1082588,1094803,-437122.3321,财富通概念
1127,AI芯片,2026-01-27 00:00:00,65869156481,6826574604,7076384703,-249810099,195508937.07,881345,470834,2261103.6206,财富通概念
600,参股新三板,2026-01-27 00:00:00,65584262402,6936984991,6941163784,-4178793,218007290.44,1439700,1868719,-7417100.4172,财富通概念
157,湖北板块,2026-01-27 00:00:00,64881557747,7161264220,7417680370,-256416150,281645777.19,1003293,757730,1473681.2123,财富通地域
988,钠离子电池,2026-01-27 00:00:00,64326165915,5271326154,5206874587,64451567,185266308.47,439461,688739,-3175692.6077,财富通概念
1055,虚拟数字人,2026-01-27 00:00:00,64316129887,9366169258,9000409134,365760124,195123445.32,1446700,1904456,-7433854.8448,财富通概念
1052,动力电池回收,2026-01-27 00:00:00,63555980952,5126489654,5072184209,54305445,228657771.6,652300,554500,3465477.12,财富通概念
481,汽车零部件,2026-01-27 00:00:00,62563135585,5208298579,5950016198,-741717619,195064623.58,398800,455341,-3307529.0105,财富通行业
534,成渝特区,2026-01-27 00:00:00,62424957269,3948587758,4122878975,-174291217,314450763.82,1318800,959050,3161199.95,财富通概念
1107,科创板做市商,2026-01-27 00:00:00,62122484754,1942268177,1739458840,202809337,69721583.48,364200,963050,-9463983.73,财富通概念
580,LED,2026-01-27 00:00:00,62072984815,7061866742,6599013985,462852757,209014168.39,639418,425715,3901032.5253,财富通概念
