date,code,close,open,high,low,volume
2021-05-17,sh000300,5184.985,5115.306,5206.695,5115.306,15388963400.0
2021-05-18,sh000300,5187.601,5190.935,5201.672,5156.792,11840426100.0
2021-05-19,sh000300,5172.272,5173.167,5193.557,5151.639,11872998300.0
2021-05-20,sh000300,5186.412,5167.055,5201.594,5152.036,13845477500.0
2021-05-21,sh000300,5134.148,5199.129,5216.162,5123.117,12476848500.0
2021-05-24,sh000300,5155.588,5138.815,5155.588,5092.389,12674233600.0
2021-05-25,sh000300,5318.478,5165.036,5324.361,5161.524,18299683900.0
2021-05-26,sh000300,5320.593,5326.117,5344.284,5308.739,16960709600.0
2021-05-27,sh000300,5338.233,5311.373,5378.476,5286.05,14846285500.0
2021-05-28,sh000300,5321.089,5338.728,5360.277,5288.652,16460580600.0
2021-05-31,sh000300,5331.57,5318.083,5331.629,5281.685,14460326900.0
2021-06-01,sh000300,5341.68,5320.475,5343.753,5269.259,14383147400.0
2021-06-02,sh000300,5289.974,5348.344,5352.64,5266.785,13775431900.0
2021-06-03,sh000300,5255.286,5285.71,5314.369,5255.072,14196887800.0
2021-06-04,sh000300,5282.277,5228.276,5334.49,5221.229,14473208700.0
2021-06-07,sh000300,5277.627,5284.891,5286.842,5242.948,12770497100.0
2021-06-08,sh000300,5232.117,5276.971,5319.041,5201.14,13055953200.0
2021-06-09,sh000300,5236.449,5224.95,5253.356,5215.351,12182032100.0
2021-06-10,sh000300,5271.466,5236.469,5299.53,5229.518,13899196700.0
2021-06-11,sh000300,5224.703,5275.746,5276.104,5213.599,18080717300.0
2021-06-15,sh000300,5166.56,5218.565,5225.502,5137.409,14288005800.0
2021-06-16,sh000300,5080.491,5163.249,5164.519,5076.022,12514798500.0
2021-06-17,sh000300,5101.892,5074.384,5123.365,5073.821,12045251800.0
2021-06-18,sh000300,5102.466,5104.93,5128.031,5064.921,14858580500.0
2021-06-21,sh000300,5090.385,5088.089,5123.783,5058.57,13218451600.0
2021-06-22,sh000300,5122.158,5106.074,5125.819,5086.278,13041675300.0
2021-06-23,sh000300,5147.394,5127.191,5171.033,5109.757,13635605800.0
2021-06-24,sh000300,5155.974,5156.564,5160.435,5120.584,12668562500.0
2021-06-25,sh000300,5239.968,5159.802,5251.608,5157.476,15493106100.0
2021-06-28,sh000300,5251.76,5253.608,5260.637,5226.22,13319378300.0
2021-06-29,sh000300,5190.545,5248.525,5248.525,5182.677,12516299700.0
2021-06-30,sh000300,5224.041,5189.38,5231.426,5186.625,10375267100.0
2021-07-01,sh000300,5229.664,5241.204,5252.264,5190.876,12724062000.0
2021-07-02,sh000300,5081.117,5186.661,5186.661,5074.362,13042642400.0
2021-07-05,sh000300,5085.792,5073.779,5098.231,5048.004,13121158900.0
2021-07-06,sh000300,5083.104,5089.778,5092.207,5028.506,14065522000.0
2021-07-07,sh000300,5140.49,5052.42,5152.771,5045.406,14854906000.0
2021-07-08,sh000300,5088.257,5149.31,5151.217,5078.93,17390100800.0
2021-07-09,sh000300,5069.436,5063.148,5081.409,5006.412,16065322600.0
2021-07-12,sh000300,5132.709,5108.378,5159.412,5070.319,20621203900.0
2021-07-13,sh000300,5142.099,5128.614,5154.051,5114.943,16648220900.0
2021-07-14,sh000300,5083.085,5130.752,5130.752,5075.125,18835272000.0
2021-07-15,sh000300,5151.463,5073.263,5153.806,5067.677,18107710300.0
2021-07-16,sh000300,5094.773,5140.904,5140.904,5090.632,16995598200.0
2021-07-19,sh000300,5113.495,5083.728,5120.824,5047.623,15319958900.0
2021-07-20,sh000300,5108.994,5080.216,5114.003,5067.862,12930004400.0
2021-07-21,sh000300,5144.043,5122.784,5160.545,5122.305,16797646900.0
2021-07-22,sh000300,5151.752,5150.386,5171.21,5137.88,18555686400.0
2021-07-23,sh000300,5089.228,5145.431,5145.431,5079.997,21653684700.0
2021-07-26,sh000300,4925.299,5067.307,5067.307,4859.603,22811171000.0
2021-07-27,sh000300,4751.313,4924.282,4940.86,4749.033,23663122500.0
2021-07-28,sh000300,4760.483,4714.295,4785.657,4663.901,19263439300.0
2021-07-29,sh000300,4850.275,4845.76,4857.971,4800.013,17332205400.0
2021-07-30,sh000300,4811.17,4825.7,4825.7,4761.038,18234977600.0
2021-08-02,sh000300,4933.736,4794.819,4938.815,4761.459,22719491800.0
2021-08-03,sh000300,4934.458,4909.233,4957.029,4890.85,20353336000.0
2021-08-04,sh000300,4978.848,4927.736,4979.291,4919.657,17546646100.0
2021-08-05,sh000300,4948.67,4946.167,4997.14,4921.938,16738182900.0
2021-08-06,sh000300,4921.565,4943.043,4944.349,4891.797,15417968800.0
2021-08-09,sh000300,4985.563,4890.257,5002.894,4884.039,18243687100.0
2021-08-10,sh000300,5043.148,4977.816,5043.761,4941.24,16705190200.0
2021-08-11,sh000300,5015.341,5037.082,5059.789,5009.978,18226607400.0
2021-08-12,sh000300,4973.351,4998.073,5016.263,4962.985,16822373300.0
2021-08-13,sh000300,4945.983,4958.758,4993.743,4921.281,15831432100.0
2021-08-16,sh000300,4941.068,4935.923,4973.376,4931.369,16195337300.0
2021-08-17,sh000300,4837.403,4935.004,4967.565,4823.392,18757347200.0
2021-08-18,sh000300,4894.238,4838.471,4909.541,4818.901,19747437800.0
2021-08-19,sh000300,4862.139,4886.564,4893.467,4839.568,20171171900.0
2021-08-20,sh000300,4769.268,4817.494,4835.153,4720.826,17763581000.0
2021-08-23,sh000300,4835.878,4777.735,4843.819,4764.009,16757909300.0
2021-08-24,sh000300,4888.39,4844.593,4906.204,4842.748,19788316300.0
2021-08-25,sh000300,4898.157,4890.521,4899.765,4865.765,18944801600.0
2021-08-26,sh000300,4801.609,4892.204,4892.204,4798.695,19761738700.0
2021-08-27,sh000300,4827.043,4794.974,4863.469,4793.591,18331021100.0
2021-08-30,sh000300,4813.27,4847.035,4849.16,4787.2,21963575700.0
2021-08-31,sh000300,4805.61,4803.085,4821.756,4740.752,23511865800.0
2021-09-01,sh000300,4869.459,4804.686,4906.402,4763.299,32672108000.0
2021-09-02,sh000300,4869.411,4865.822,4892.705,4845.625,26785801300.0
2021-09-03,sh000300,4843.062,4875.066,4886.548,4828.699,26809189600.0
2021-09-06,sh000300,4933.726,4841.062,4944.45,4837.786,24050724500.0
2021-09-07,sh000300,4992.829,4932.976,5005.961,4915.612,24417851900.0
2021-09-08,sh000300,4972.132,4986.795,5013.976,4955.888,26461531500.0
2021-09-09,sh000300,4970.013,4952.492,4970.147,4929.95,25653021700.0
2021-09-10,sh000300,5013.522,4967.976,5042.799,4962.371,28830435200.0
2021-09-13,sh000300,4991.66,5006.775,5029.724,4964.96,24991529800.0
2021-09-14,sh000300,4917.162,4989.835,5000.977,4907.316,24559040200.0
2021-09-15,sh000300,4867.319,4903.847,4903.847,4843.116,18798473000.0
2021-09-16,sh000300,4807.698,4866.794,4879.531,4806.144,21675209900.0
2021-09-17,sh000300,4855.94,4797.113,4857.958,4786.088,20195812700.0
2021-09-22,sh000300,4821.768,4770.732,4830.85,4765.23,19122037600.0
2021-09-23,sh000300,4853.196,4848.222,4877.336,4837.557,22815106400.0
2021-09-24,sh000300,4849.428,4845.638,4897.06,4838.535,20769329000.0
2021-09-27,sh000300,4877.37,4870.848,4922.563,4852.2,21596703000.0
2021-09-28,sh000300,4883.828,4869.085,4901.311,4846.631,17689088000.0
2021-09-29,sh000300,4833.928,4846.021,4868.068,4799.877,18817136600.0
2021-09-30,sh000300,4866.383,4843.953,4876.073,4843.953,14611389600.0
2021-10-08,sh000300,4929.941,4915.731,4937.092,4891.625,16896807700.0
2021-10-11,sh000300,4936.192,4941.292,4983.729,4930.713,16351162400.0
2021-10-12,sh000300,4883.837,4920.66,4925.488,4840.77,16807933700.0
2021-10-13,sh000300,4940.109,4880.144,4953.375,4869.831,13114281300.0
2021-10-14,sh000300,4913.612,4934.258,4953.923,4903.25,11955701300.0
2021-10-15,sh000300,4932.108,4896.558,4939.815,4881.014,14282200100.0
2021-10-18,sh000300,4874.775,4922.514,4922.514,4844.938,14124519900.0
2021-10-19,sh000300,4922.723,4869.391,4928.143,4868.811,13526649300.0
2021-10-20,sh000300,4910.185,4926.773,4944.022,4898.365,14153318300.0
2021-10-21,sh000300,4928.016,4914.738,4946.176,4893.853,14889815400.0
2021-10-22,sh000300,4959.725,4934.87,4989.887,4934.87,14392622800.0
2021-10-25,sh000300,4979.524,4940.896,4981.65,4930.112,14186149000.0
2021-10-26,sh000300,4963.098,4983.238,5002.575,4953.479,14088894300.0
2021-10-27,sh000300,4898.164,4949.227,4949.227,4884.942,14711159300.0
2021-10-28,sh000300,4864.138,4882.586,4898.658,4846.278,15664947200.0
2021-10-29,sh000300,4908.77,4861.267,4908.77,4855.759,15988735300.0
2021-11-01,sh000300,4890.685,4878.128,4908.206,4858.249,17158397400.0
2021-11-02,sh000300,4839.846,4886.185,4911.227,4797.899,18543768800.0
2021-11-03,sh000300,4821.112,4835.809,4858.713,4804.366,14276382000.0
2021-11-04,sh000300,4868.742,4841.091,4873.939,4834.743,13259297000.0
2021-11-05,sh000300,4842.346,4858.9,4889.684,4841.744,14778935900.0
2021-11-08,sh000300,4848.18,4841.153,4866.082,4827.689,13739826400.0
2021-11-09,sh000300,4846.744,4858.253,4870.791,4818.539,11837552600.0
2021-11-10,sh000300,4821.193,4832.801,4832.801,4753.996,13511817900.0
2021-11-11,sh000300,4898.653,4814.766,4898.653,4809.111,16048486300.0
2021-11-12,sh000300,4888.375,4902.929,4909.084,4875.349,13266296900.0
2021-11-15,sh000300,4882.378,4894.412,4906.33,4863.396,12182314900.0
2021-11-16,sh000300,4883.321,4880.896,4915.372,4876.5,12725440600.0
2021-11-17,sh000300,4885.754,4883.248,4891.523,4864.52,10845922300.0
2021-11-18,sh000300,4837.619,4871.422,4871.422,4830.412,11448056500.0
2021-11-19,sh000300,4890.058,4832.06,4892.809,4829.567,12719831200.0
2021-11-22,sh000300,4912.399,4895.388,4918.996,4893.273,13809283600.0
2021-11-23,sh000300,4913.346,4905.759,4927.521,4896.878,15430441100.0
2021-11-24,sh000300,4916.658,4914.027,4935.489,4899.611,13715067300.0
2021-11-25,sh000300,4896.442,4917.606,4921.333,4891.728,11598403100.0
2021-11-26,sh000300,4860.127,4886.952,4886.952,4850.811,12036897400.0
2021-11-29,sh000300,4851.423,4820.005,4858.532,4818.706,13362686200.0
2021-11-30,sh000300,4832.026,4857.183,4871.253,4810.219,12963059600.0
2021-12-01,sh000300,4843.851,4831.889,4844.524,4823.925,12308678900.0
2021-12-02,sh000300,4856.163,4839.914,4866.851,4830.323,14808852100.0
2021-12-03,sh000300,4901.018,4856.98,4901.018,4853.351,14405962600.0
2021-12-06,sh000300,4892.621,4909.429,4943.903,4888.693,17361568300.0
2021-12-07,sh000300,4922.102,4930.826,4934.097,4895.218,17905346000.0
2021-12-08,sh000300,4995.93,4934.406,4995.93,4915.79,15749055900.0
2021-12-09,sh000300,5078.69,5000.687,5114.501,4999.41,22056877600.0
2021-12-10,sh000300,5055.117,5046.268,5060.055,5035.809,19369515400.0
2021-12-13,sh000300,5083.801,5090.021,5143.841,5079.728,21180159600.0
2021-12-14,sh000300,5049.695,5066.35,5075.214,5038.858,15910779000.0
