trade_date,index_code,index_name,stock_count,coverage,total_vol,top5_vol,vol_concentration_pct,total_amount,top5_amount,amount_concentration_pct
20230905,399330,深证100,98,98.0,31816785.95,8977643.33,28.21668833586254,72208836.485,14620551.483,20.247593223631487
20230906,000001,上证指数,422,97.5,68811478.88,25464960.55,37.00684967751997,90757500.341,33630700.647,37.055560720205534
20230906,399001,深证成指,392,93.3,48116805.01,15984508.49,33.2202200180955,86927097.888,33066884.263,38.03978858882942
20230906,000300,沪深300,285,99.0,96941734.08,23718624.1,24.466886553139737,171301755.125,39254836.886,22.915606940136424
20230906,000016,上证50,49,98.0,26673330.71,5081071.3100000005,19.0492569722276,54667462.405,11794063.986,21.57419325342837
20230906,399006,创业板,96,96.0,16343171.39,5802263.85,35.50268005847548,53751693.287,12869239.893,23.94201764823744
20230906,000688,科创50,47,94.0,4359325.77,1397839.68,32.065501725511105,21666454.986,7699644.153,35.537166361433854
20230906,STAR,科创板,83,95.4,2362946.57,1097253.16,46.435800704541535,8965110.826,2728743.316,30.437362894458435
20230906,000905,中证500,411,95.8,73227830.82000001,24035080.82,32.82233073253282,91706660.356,23873468.285,26.03242577183005
20230906,000852,中证1000,725,93.9,88373517.72,25320494.81,28.65167695397697,113514553.999,33637658.55,29.63290376870646
20230906,399330,深证100,98,98.0,28494418.12,8792335.53,30.856343487950472,66558803.692,13277053.483,19.94785474877132
20230907,000001,上证指数,422,97.5,66302775.75,24463817.1,36.897123571783496,84823032.985,30815412.306,36.32906207379941
20230907,399001,深证成指,392,93.3,46764973.58,15191107.86,32.48394406555762,85184554.197,33325082.753,39.12103909815804
20230907,000300,沪深300,285,99.0,100543269.99,25525239.1,25.38731742317385,173526570.63,43927591.004,25.314619452524127
20230907,000016,上证50,49,98.0,27897991.77,5891892.649999999,21.11941496927325,53569898.545,10876758.149,20.303861766441955
20230907,399006,创业板,96,96.0,15765381.33,5502581.359999999,34.90293856406199,52523596.111,15136720.47,28.818895869222327
20230907,000688,科创50,47,94.0,4683889.25,1694134.51,36.16939725891256,21422719.176,8207797.996999999,38.313520938066745
20230907,STAR,科创板,83,95.4,2138020.44,1030316.32,48.19019971577073,7898908.01,2320925.459,29.38286477145592
20230907,000905,中证500,411,95.8,77683019.49,26657019.99,34.315118239490566,89537977.532,22793422.543,25.45670917667741
20230907,000852,中证1000,725,93.9,88001798.25,24818628.04,28.202410102454923,108898073.613,31315581.269,28.756781667496472
20230907,399330,深证100,98,98.0,29710853.95,9398716.31,31.63394874417603,68403133.59899999,16117546.753,23.562585374357216
20230908,000001,上证指数,422,97.5,54862980.25,20440911.19,37.2581130242191,68415905.743,23767562.906,34.73982058394628
20230908,399001,深证成指,392,93.3,40177873.48,13421566.12,33.405367077680395,74186371.602,29146243.409,39.28786754171739
20230908,000300,沪深300,285,99.0,79395121.33,21463306.92,27.033533749245542,139395702.917,34420069.835,24.692346402883487
20230908,000016,上证50,49,98.0,20106741.63,4457118.26,22.167282705566848,38397723.488,7721438.339,20.109104492648093
20230908,399006,创业板,96,96.0,15374817.02,6555911.2700000005,42.6405807722582,48920010.226,15899372.377,32.50075440202955
20230908,000688,科创50,47,94.0,2829735.64,903661.29,31.93447745528625,14372378.652,4959353.631,34.50614370161947
20230908,STAR,科创板,83,95.4,1773038.35,738597.97,41.657190889300274,7041493.622,1717904.157,24.39687159032124
20230908,000905,中证500,411,95.8,66562148.19,23602609.41,35.459506719384926,78888550.183,21068934.75,26.707215053548072
20230908,000852,中证1000,726,94.0,83539952.38,26995539.84,32.314526248716064,105871224.344,34253462.388,32.35389276004083
20230908,399330,深证100,98,98.0,23088339.2,6151264.78,26.64230080264933,57879810.984,13140869.116,22.70371808856217
20230911,000001,上证指数,422,97.5,72021549.26,25367237.33,35.22173237127056,94500172.402,34436801.329,36.4409931259249
20230911,399001,深证成指,392,93.3,54791133.12,18351580.95,33.493705833401094,103810753.895,41471546.917,39.9491819112947
20230911,000300,沪深300,285,99.0,115765556.91,30532074.8,26.374057720584936,201401554.488,49692091.054,24.673141764137068
20230911,000016,上证50,49,98.0,28058857.15,5734563.35,20.43762267060118,54797023.24,10366153.167,18.91736549556409
20230911,399006,创业板,96,96.0,19417089.82,6616870.63,34.077561011148475,61594772.949,17298909.857,28.085029019139927
20230911,000688,科创50,47,94.0,3457389.93,1181527.94,34.17398569214899,15570303.75,4401680.903,28.269717621918584
20230911,STAR,科创板,83,95.4,2193356.18,861919.48,39.29683139744317,8625802.971,1874337.445,21.72942566972064
20230911,000905,中证500,411,95.8,87354144.85,28555714.14,32.68959267935642,104881067.367,25865675.931,24.66191142057201
