trade_date,stock_count,gain_k,gain_top5_amount,gain_share_pct,loss_k,loss_top5_amount,loss_share_pct
20240418,5266,264,104193151.05,10.993845515132987,264,61529482.028,6.492227303091852
20240419,5266,264,101727214.791,11.853905577402935,264,73676654.221,8.585274886263445
20240422,5265,264,59905811.951000005,7.312516030957641,264,94387960.191,11.521644554131738
20240423,5264,264,56547714.145,7.314112952996729,264,107828443.258,13.946972489683665
20240424,5264,264,112315662.756,14.164624931330945,264,77214653.368,9.737881407836168
20240425,5263,264,78160507.363,10.143586681961317,264,75182587.259,9.757115409882822
20240426,5256,263,158207920.206,14.617112646207634,263,72161321.433,6.667113521952206
20240429,5253,263,102334197.232,8.476380972673383,263,110721761.902,9.171126184918265
20240430,5242,263,85796823.283,8.349380526232382,263,112330378.659,10.931512848513586
20240506,5265,264,86061290.681,7.814514345851187,264,86855000.607,7.886584582703221
20240507,5265,264,100093135.635,10.349083695590272,264,91356402.83799998,9.445753228735107
20240508,5263,264,108535161.533,12.5703758623542,264,78358819.84,9.075398272842754
20240509,5266,264,113123639.69,12.571520044266997,264,70143340.08500001,7.795085167582043
20240510,5266,264,116286039.195,12.766366395729722,264,76434539.906,8.39130258872019
20240513,5265,264,127871894.238,14.075746016450868,264,48830980.245000005,5.375164572002513
20240514,5268,264,76551106.21000001,9.314294185567276,264,85657356.809,10.422289892042178
20240515,5269,264,91204991.525,12.04031314014276,264,89362272.34799999,11.797048867547058
20240516,5269,264,100667009.987,11.946213973269204,264,77914883.1,9.24620553779294
20240517,5270,264,123393213.188,13.970827937450478,264,70980224.507,8.036523872978622
20240520,5266,264,132379650.042,13.354558422404844,264,70188641.045,7.080682772067055
20240521,5269,264,93414126.209,11.720088485354747,264,76302793.532,9.57323617066211
20240522,5270,264,121170759.375,14.606736719430266,264,76945462.12599999,9.275522517367856
20240523,5270,264,70120046.77,8.24697454355759,264,71109055.217,8.363294025096527
20240524,5270,264,82454489.05499999,10.802342394670966,264,96487831.234,12.640847112807272
20240527,5268,264,102058810.606,13.208080726192748,264,64428089.818,8.338049466750427
20240528,5268,264,101514914.048,13.708236754402684,264,76356847.28,10.310974994660208
20240529,5267,264,101510986.992,14.357483774084562,264,60080678.661,8.49767492733843
20240530,5268,264,93866121.019,13.000545087005086,264,76665030.614,10.618178063331142
20240531,5268,264,78739012.836,11.044871333216111,264,74122979.776,10.397371582060206
20240603,5269,264,149252517.233,18.01692736685268,264,51076119.80499999,6.165622917238709
20240604,5267,264,103723703.51,13.93775209690634,264,40791519.487,5.481313017434987
20240605,5270,264,87484193.324,12.747992473398815,264,50582578.933,7.370775348351836
20240606,5270,264,168371686.49699998,19.956974397207205,264,36161162.68,4.286156495741125
20240607,5267,264,31275664.251,4.380593670408515,264,119171078.049,16.691574190323294
20240611,5267,264,78497621.975,11.20886321994861,264,86504437.523,12.352175565556644
20240612,5271,264,79283108.526,11.488678984538932,264,65572029.956,9.501847449409816
20240613,5272,264,79220851.596,10.556439652341084,264,71894794.131,9.580218342410603
20240614,5274,264,119258080.132,14.121146277035203,264,85722081.537,10.150205765647817
20240617,5273,264,134651936.219,17.974821522504012,264,45155414.537,6.027841409997705
20240618,5273,264,79864769.812,10.88122669099591,264,59868576.92,8.156832589229646
20240619,5274,264,84500201.781,12.004477221070566,264,68020644.512,9.663317487964218
20240620,5274,264,70155375.579,9.708875585693454,264,66495714.295,9.202411244238617
20240621,5274,264,56675389.275,9.156483846540995,264,48642304.826000005,7.858657595392267
20240624,5275,264,106731441.841,15.359659494048728,264,35550407.573,5.116038402342407
20240625,5270,264,45160628.977,6.969011303249325,264,85813817.11500001,13.242451998487043
20240626,5277,264,69002410.903,10.75217960273476,264,62097139.428,9.676177791592051
20240627,5275,264,78396789.843,12.54981439130386,264,59753377.866,9.565363619779667
20240628,5277,264,109079122.938,15.573059884379273,264,63810818.825,9.110173203334536
20240701,5275,264,76685173.14699998,11.683466280084495,264,52751361.292,8.037000186492342
20240702,5276,264,48982090.341000006,7.614785090074588,264,75114746.507,11.677383463307672
20240703,5277,264,61394375.982,10.591073929632602,264,52531870.443,9.062213185240529
20240704,5278,264,86925572.016,14.960444439782895,264,35183030.224,6.055223528382083
20240705,5278,264,49696440.155,8.683074894466337,264,79158183.971,13.830697687528112
20240708,5275,264,104048922.628,17.953981487418798,264,40125327.947,6.923756411324733
20240709,5277,264,104604086.085,14.495028629508536,264,40907487.196,5.668566308064158
20240710,5279,264,92754919.675,13.741482201841956,264,56355817.931,8.349017731701057
20240711,5279,264,67677523.66499999,8.627758761688069,264,115409813.156,14.712831863799575
20240712,5279,264,89033575.70699999,13.00957680977203,264,88064535.35,12.867980733729349
20240715,5280,264,82173993.00899999,13.712605279734616,264,51756672.82399999,8.636781529530255
20240716,5280,264,92824736.402,14.49788819194655,264,46299914.867,7.231380503267953
20240717,5278,264,22243894.775,3.263150862157622,264,90196361.737,13.231690697276836
20240718,5278,264,85551710.96000001,12.649496121049973,264,24092663.285,3.5622905415867394
20240719,5277,264,70372224.208,10.480550914756384,264,81870231.32900001,12.192951658176014
20240722,5278,264,82678379.057,12.601429157550992,264,52438623.747,7.992435384004358
20240723,5278,264,70912164.95300001,10.723212418019934,264,79771430.352,12.0628948942785
20240724,5278,264,77842662.031,12.433659903703711,264,58328833.606000006,9.316753316425748
20240725,5277,264,65935407.22899999,11.219013632007451,264,102932948.41300002,17.514203672351858
20240726,5280,264,81517316.614,13.448656839797271,264,70865602.707,11.691346233398624
20240729,5279,264,92364478.869,15.810100790568333,264,48485795.675,8.29935193614709
20240730,5280,264,87713797.71,14.646196369847797,264,81491742.915,13.60725564751337
20240731,5280,264,105484694.833,11.69202782960874,264,122391884.307,13.56603742089054
20240801,5279,264,94678678.641,12.133470070739596,264,70832628.225,9.077498618867338
20240802,5281,265,83291462.903,11.572599598465477,265,88443115.528,12.288375393746428
20240805,5281,265,84404876.454,10.72044879479037,265,104741267.177,13.303418459292963
20240806,5283,265,77558866.127,11.910387924475357,265,116610474.743,17.90737873826222
20240807,5283,265,77073999.974,13.068783989796437,265,70566485.578,11.965360007902364
20240808,5284,265,59373788.555,9.61326790334745,265,84958399.98300001,13.755697245422787
20240809,5284,265,78118969.011,13.933597092360785,265,55999954.191,9.98836529419868
20240812,5284,265,59193404.738000005,11.968492182614202,265,55166297.487,11.154239279516691
20240813,5284,265,58998685.31999999,12.393793447481796,265,48516799.167,10.191874350205518
20240814,5285,265,69514289.366,14.594655600832697,265,46357345.259,9.732811696625284
20240815,5286,265,84281478.575,14.299836477059058,265,40429292.594,6.8595411797730765
20240816,5287,265,88403868.884,15.012312657210307,265,72523939.067,12.315660639636596
20240819,5286,265,82272170.187,14.50468341136174,265,55470439.576,9.779505790477913
20240820,5287,265,72087905.86400001,12.980220464432524,265,55976967.332,10.079268750995176
20240821,5288,265,78465385.073,15.42950585256012,265,56874866.025,11.183926229124902
20240822,5288,265,77984098.726,14.227741910507616,265,67394241.265,12.295684461801883
20240823,5287,265,77552889.248,15.260024122439154,265,51253044.61400001,10.085023327203253
20240826,5289,265,58774149.728,11.198148016208878,265,71844912.22600001,13.688500217213775
20240827,5288,265,63464921.248,12.446626512085237,265,57127058.785,11.203656294669084
20240828,5288,265,50010479.583,10.106028779324944,265,66311399.866,13.40008976180508
20240829,5288,265,75082220.555,12.401275761169988,265,100603720.11,16.61664328067864
20240830,5288,265,132202185.002,15.125965692357928,265,95706263.649,10.950270303600778
20240902,5287,265,79544640.387,11.32594789333856,265,76851202.08500001,10.942443213275164
20240903,5289,265,75224960.895,13.008067475747628,265,84551531.68200001,14.62083883077663
20240904,5290,265,76081336.95699999,13.653738533034169,265,69456516.174,12.46483236475251
20240905,5290,265,69938529.227,13.108467941685262,265,68772104.01799999,12.889846709189465
20240906,5291,265,101709036.125,18.800604241309728,265,47661613.089,8.810103402095502
20240909,5288,265,59785560.58,11.577036678093506,265,80719977.34599999,15.630833420706194
20240910,5288,265,64131237.622,12.220780255280165,265,65820113.408,12.54261062413756
20240911,5292,265,87678412.68400002,17.647693105493726,265,66649021.904,13.414949567828572
20240912,5292,265,62622715.892000005,12.237741273426872,265,76595579.986,14.968320635810814
20240913,5293,265,80286042.35499999,15.320691368874051,265,66492991.464,12.68861399231342
20240918,5289,265,73991786.643,15.51768921299486,265,40183450.818,8.4273448390691
20240919,5293,265,59541676.381000005,9.57237031644484,265,67468585.368,10.84676017075086
20240920,5293,265,92335109.555,16.192605655422547,265,48000655.722,8.417769720033425
20240923,5294,265,85159548.351,15.573836286686335,265,51493941.903,9.417126282164489
